summary_type,factuality_score_mean,factuality_score_std,factuality_score_count,hallucination_score_mean,hallucination_score_std,hallucination_score_count,completeness_score_mean,completeness_score_std,completeness_score_count,conciseness_score_mean,conciseness_score_std,conciseness_score_count,overall_quality_score_mean,overall_quality_score_std,overall_quality_score_count
baseline,2.9157894736842107,0.3149859130499851,95,2.9894736842105263,0.10259783520851543,95,2.642105263157895,0.48192410176875505,95,3.389473684210526,0.49021785956044783,95,2.642105263157895,0.48192410176875505,95
rag,2.694736842105263,0.4629618846157239,95,2.9473684210526314,0.22448148540588736,95,2.536842105263158,0.5012861397973892,95,3.1157894736842104,0.32166977565333826,95,2.536842105263158,0.5012861397973892,95
rag2_multi_query,2.804123711340206,0.398935439057603,97,2.9587628865979383,0.19987109247774534,97,2.649484536082474,0.47961002199273955,97,3.1752577319587627,0.38216241307281346,97,2.649484536082474,0.47961002199273955,97
rag3_matched_budget,2.919191919191919,0.3403709763870699,99,2.9696969696969697,0.1722921969015792,99,2.797979797979798,0.403550517278664,99,3.1616161616161618,0.3699716124540519,99,2.797979797979798,0.403550517278664,99
